state	city	school	grade	redHairStudents
state-0	city-0	school-0	grade-0	11
state-0	city-0	school-0	grade-1	1
state-0	city-0	school-0	grade-2	29
state-0	city-0	school-0	grade-3	28
state-0	city-0	school-0	grade-4	20
state-0	city-0	school-0	grade-5	12
state-0	city-0	school-0	grade-6	7
state-0	city-0	school-0	grade-7	18
state-0	city-0	school-0	grade-8	18
state-0	city-0	school-0	grade-9	21
state-0	city-0	school-1	grade-0	19
state-0	city-0	school-1	grade-1	29
state-0	city-0	school-1	grade-2	28
state-0	city-0	school-1	grade-3	28
state-0	city-0	school-1	grade-4	1
state-0	city-0	school-1	grade-5	20
state-0	city-0	school-1	grade-6	28
state-0	city-0	school-1	grade-7	16
state-0	city-0	school-1	grade-8	0
state-0	city-0	school-1	grade-9	1
state-0	city-0	school-2	grade-0	12
state-0	city-0	school-2	grade-1	14
state-0	city-0	school-2	grade-2	3
state-0	city-0	school-2	grade-3	26
state-0	city-0	school-2	grade-4	25
state-0	city-0	school-2	grade-5	10
state-0	city-0	school-2	grade-6	2
state-0	city-0	school-2	grade-7	24
state-0	city-0	school-2	grade-8	4
state-0	city-0	school-2	grade-9	10
state-0	city-0	school-3	grade-0	6
state-0	city-0	school-3	grade-1	22
state-0	city-0	school-3	grade-2	6
state-0	city-0	school-3	grade-3	13
state-0	city-0	school-3	grade-4	24
state-0	city-0	school-3	grade-5	4
state-0	city-0	school-3	grade-6	0
state-0	city-0	school-3	grade-7	3
state-0	city-0	school-3	grade-8	11
state-0	city-0	school-3	grade-9	18
state-0	city-0	school-4	grade-0	22
state-0	city-0	school-4	grade-1	6
state-0	city-0	school-4	grade-2	19
state-0	city-0	school-4	grade-3	25
state-0	city-0	school-4	grade-4	2
state-0	city-0	school-4	grade-5	16
state-0	city-0	school-4	grade-6	16
state-0	city-0	school-4	grade-7	27
state-0	city-0	school-4	grade-8	28
state-0	city-0	school-4	grade-9	4
state-0	city-0	school-5	grade-0	5
state-0	city-0	school-5	grade-1	25
state-0	city-0	school-5	grade-2	14
state-0	city-0	school-5	grade-3	6
state-0	city-0	school-5	grade-4	12
state-0	city-0	school-5	grade-5	6
state-0	city-0	school-5	grade-6	7
state-0	city-0	school-5	grade-7	27
state-0	city-0	school-5	grade-8	14
state-0	city-0	school-5	grade-9	12
state-0	city-0	school-6	grade-0	17
state-0	city-0	school-6	grade-1	24
state-0	city-0	school-6	grade-2	2
state-0	city-0	school-6	grade-3	10
state-0	city-0	school-6	grade-4	28
state-0	city-0	school-6	grade-5	1
state-0	city-0	school-6	grade-6	9
state-0	city-0	school-6	grade-7	12
state-0	city-0	school-6	grade-8	5
state-0	city-0	school-6	grade-9	24
state-0	city-0	school-7	grade-0	9
state-0	city-0	school-7	grade-1	12
state-0	city-0	school-7	grade-2	29
state-0	city-0	school-7	grade-3	28
state-0	city-0	school-7	grade-4	8
state-0	city-0	school-7	grade-5	13
state-0	city-0	school-7	grade-6	23
state-0	city-0	school-7	grade-7	26
state-0	city-0	school-7	grade-8	14
state-0	city-0	school-7	grade-9	0
state-0	city-0	school-8	grade-0	4
state-0	city-0	school-8	grade-1	27
state-0	city-0	school-8	grade-2	23
state-0	city-0	school-8	grade-3	1
state-0	city-0	school-8	grade-4	18
state-0	city-0	school-8	grade-5	8
state-0	city-0	school-8	grade-6	18
state-0	city-0	school-8	grade-7	7
state-0	city-0	school-8	grade-8	9
state-0	city-0	school-8	grade-9	15
state-0	city-0	school-9	grade-0	12
state-0	city-0	school-9	grade-1	20
state-0	city-0	school-9	grade-2	7
state-0	city-0	school-9	grade-3	19
state-0	city-0	school-9	grade-4	11
state-0	city-0	school-9	grade-5	13
state-0	city-0	school-9	grade-6	27
state-0	city-0	school-9	grade-7	9
state-0	city-0	school-9	grade-8	8
state-0	city-0	school-9	grade-9	23
state-0	city-0	school-10	grade-0	6
state-0	city-0	school-10	grade-1	0
state-0	city-0	school-10	grade-2	14
state-0	city-0	school-10	grade-3	11
state-0	city-0	school-10	grade-4	19
state-0	city-0	school-10	grade-5	3
state-0	city-0	school-10	grade-6	18
state-0	city-0	school-10	grade-7	2
state-0	city-0	school-10	grade-8	4
state-0	city-0	school-10	grade-9	2
state-0	city-0	school-11	grade-0	26
state-0	city-0	school-11	grade-1	2
state-0	city-0	school-11	grade-2	18
state-0	city-0	school-11	grade-3	25
state-0	city-0	school-11	grade-4	25
state-0	city-0	school-11	grade-5	10
state-0	city-0	school-11	grade-6	6
state-0	city-0	school-11	grade-7	28
state-0	city-0	school-11	grade-8	7
state-0	city-0	school-11	grade-9	21
state-0	city-0	school-12	grade-0	17
state-0	city-0	school-12	grade-1	15
state-0	city-0	school-12	grade-2	16
state-0	city-0	school-12	grade-3	12
state-0	city-0	school-12	grade-4	22
state-0	city-0	school-12	grade-5	12
state-0	city-0	school-12	grade-6	14
state-0	city-0	school-12	grade-7	9
state-0	city-0	school-12	grade-8	11
state-0	city-0	school-12	grade-9	12
state-0	city-0	school-13	grade-0	14
state-0	city-0	school-13	grade-1	19
state-0	city-0	school-13	grade-2	3
state-0	city-0	school-13	grade-3	16
state-0	city-0	school-13	grade-4	5
state-0	city-0	school-13	grade-5	6
state-0	city-0	school-13	grade-6	26
state-0	city-0	school-13	grade-7	20
state-0	city-0	school-13	grade-8	5
state-0	city-0	school-13	grade-9	23
state-0	city-0	school-14	grade-0	3
state-0	city-0	school-14	grade-1	3
state-0	city-0	school-14	grade-2	1
state-0	city-0	school-14	grade-3	23
state-0	city-0	school-14	grade-4	3
state-0	city-0	school-14	grade-5	5
state-0	city-0	school-14	grade-6	29
state-0	city-0	school-14	grade-7	29
state-0	city-0	school-14	grade-8	3
state-0	city-0	school-14	grade-9	10
state-0	city-0	school-15	grade-0	28
state-0	city-0	school-15	grade-1	10
state-0	city-0	school-15	grade-2	25
state-0	city-0	school-15	grade-3	21
state-0	city-0	school-15	grade-4	16
state-0	city-0	school-15	grade-5	5
state-0	city-0	school-15	grade-6	11
state-0	city-0	school-15	grade-7	9
state-0	city-0	school-15	grade-8	18
state-0	city-0	school-15	grade-9	11
state-0	city-0	school-16	grade-0	15
state-0	city-0	school-16	grade-1	18
state-0	city-0	school-16	grade-2	2
state-0	city-0	school-16	grade-3	5
state-0	city-0	school-16	grade-4	20
state-0	city-0	school-16	grade-5	1
state-0	city-0	school-16	grade-6	3
state-0	city-0	school-16	grade-7	21
state-0	city-0	school-16	grade-8	0
state-0	city-0	school-16	grade-9	10
state-0	city-0	school-17	grade-0	11
state-0	city-0	school-17	grade-1	3
state-0	city-0	school-17	grade-2	19
state-0	city-0	school-17	grade-3	26
state-0	city-0	school-17	grade-4	20
state-0	city-0	school-17	grade-5	10
state-0	city-0	school-17	grade-6	13
state-0	city-0	school-17	grade-7	13
state-0	city-0	school-17	grade-8	6
state-0	city-0	school-17	grade-9	0
state-0	city-0	school-18	grade-0	14
state-0	city-0	school-18	grade-1	14
state-0	city-0	school-18	grade-2	7
state-0	city-0	school-18	grade-3	24
state-0	city-0	school-18	grade-4	1
state-0	city-0	school-18	grade-5	3
state-0	city-0	school-18	grade-6	28
state-0	city-0	school-18	grade-7	21
state-0	city-0	school-18	grade-8	23
state-0	city-0	school-18	grade-9	15
